item,itemLabel,start,end,psid
Q6075725,Isa Mohammed,1999-05-29,2007-05-29,Q6075725-C9DCB61D-715D-4F0A-8EF0-37EE9860A0DB
Q6078472,Isaiah Balat,2003-06-03,2007-06-05,Q6078472-5B77605D-9311-4E15-A0CA-B27E757781B1
Q6080812,Isiaka Adetunji Adeleke,2007-05,2011-05,Q6080812-2D5271DC-7E2B-4D32-8D4F-656CE3ADACBC
Q6138857,James Manager,2003-06-03,2007-06-05,Q6138857-60AA74AB-8415-4344-8379-2B08E3B0AA07
Q6219847,John Azuta-Mbata,2003-06-03,2007-06-05,Q6219847-EE9C91CB-B8E8-45DB-81F8-E8C1CBC548BF
Q6274897,Jonathan Zwingina,1999-05,2007-05,Q6274897-3AF5D3E7-5489-40CB-B8A4-4B6B0AAEE76F
Q6301957,Jibril Aminu,2003-05-29,2011-05,Q6301957-190F64C3-62D2-4C80-9E29-8453A7C94F8F
Q6310120,Julius Ucha,2003-06-03,2007-06-05,Q6310120-3959C95A-5EBB-4C46-89A9-70F957DB12C7
Q6388239,Ken Nnamani,2003-06-03,2007-06-05,Q6388239-5190A2A1-9B25-47A4-B735-740774874DD3
Q6503559,Lawali Shuaibu,2003-06-03,2007-06-05,Q6503559-069F8B98-EBEF-49CE-8F5D-BADB78ED5A19
Q6514449,Lee Maeba,2003-06-03,2007-06-05,Q6514449-0323610F-C115-4D3B-80D3-F8C73EA46A02
Q6734487,Mahmud Kanti Bello,2003-06-03,2007-06-05,Q6734487-4EE4CC61-A45C-49C3-B171-FB3C1A7B5FA7
Q6736241,Maina Maaji Lawan,2007-05-29,2015,Q6736241-f5f120f3-41b0-3fd9-c5e9-54e65ab73efc
Q6737104,Maitama Bello Yusuf,1999-05-29,2015-05-29,Q6737104-71072951-8954-4938-9A82-788578B4D8B7
Q6745774,Mamman Bello Ali,2003-06-03,2007-06-05,Q6745774-381A4735-1132-47D4-9249-73CDD6274A60
Q6892988,Mohammed Aruwa,1999-05-29,2007-05-29,Q6892988-52C23943-0F04-4100-9914-F978759CCFF0
Q6893057,Mohammed Daggash,2003-06-03,2007-06-05,Q6893057-878D2124-9012-40BE-9DF3-C67ADE8051C1
Q6893199,Mohammed Mana,2007-05-29,2011-05,Q6893199-6F62E902-E8D7-4D71-B8A6-4B506E345EDA
Q6893322,Mohammed Sani Sami,2003-06-03,2007-06-05,Q6893322-D6A21C10-7F1A-465C-8445-65F37DC01E59
Q7068794,Nuhu Aliyu Labbo,1999-05,2011-05,Q7068794-6938AE10-EE3C-4969-BD08-17AC4656A429
Q7089709,Omar Hambagda,2003-06-03,2007-06-05,Q7089709-13ECE4A4-CFEB-43F0-9658-8E32ACA5810C
Q7106495,Oserheimen Osunbor,1999-05-29,2007-05-29,Q7106495-FF801C58-E11F-4593-9B38-FAAE9D6DE581
Q7147437,Patrick Osakwe,1999-05,2011-05,Q7147437-B85A81D3-F419-468F-A51E-014C8839C461
Q7399992,Saidu Dansadau,2003-06-03,2007-06-05,Q7399992-79844655-5AFB-41A8-ADDD-DF910624D4ED
Q7518155,Simon Ajibola,2003-06-03,2007-06-05,Q7518155-27FB3B80-BC42-4940-9C99-F44E4970B6F7
Q7689220,Tawar Umbi Wada,2003-06-03,2007-06-05,Q7689220-9ACEE273-E43D-4516-ABC2-6F36B4BAC87E
Q7705525,Teslim Folarin,2003-06-03,2007-06-05,Q7705525-59618A19-059D-41E0-81E0-A850826167D8
Q7852884,Tunde Ogbeha,1999-05,2007-05,Q7852884-3604D2D6-261D-48C3-9C24-97363B2353BB
Q7877282,Udoma Udo Udoma,2003-06-03,2007-06-05,Q7877282-603CD7FA-71EB-42C4-850C-A945EAFC2255
Q7881173,Umaru Dahiru,2003-06-03,2007-06-05,Q7881173-C2CCC69D-5FEF-4D47-B27F-7D1A1029809F
Q7902039,Usman Albishir,2003-06-03,2007-06-05,Q7902039-AEF41181-55E1-43A9-ABA9-5B68B8C47195
Q7926217,Victor Oyofo,1999-05-29,2007-05-29,Q7926217-C4D3F975-268E-443B-B5A2-46FA20C9FAF2
Q8061881,Yushau Anka,2003-06-03,2007-06-05,Q8061881-730999C7-FF51-411F-A4CA-38D0EBB369D0
