item,itemLabel,startDate,endDate,constituencyLabel,party,partyLabel
Q19957516,Yakubu Dogara,2019-06-11,2020-06-24,Dass/Bogoro/Tafawa Balewa,Q1551163,PDP
Q19957516,Yakubu Dogara,2020-06-24,,Dass/Bogoro/Tafawa Balewa,Q4729266,APC
,Mohammed Garba Gololo,2019-06-11,2019-11-01,Gamawa,Q4729266,APC
,Ahmed Madaki Gololo,2020-02-04,,Gamawa,Q1551163,PDP
,Bashir Uba Mashema,2019-06-11,,Jama’are/Itas-Gadau,Q4729266,APC
,Umar Abdulkadir Sarki,2019-06-11,,Katagum,Q7165739,PRP
Q51120626,Ibrahim Makama Misau,2019-06-11,,Misau/Dambam,Q4729266,APC
,Abdullahi Sa'ad Abdulkadir,2019-06-11,,Ningi/Warji,Q4729266,APC
,Abubakar Kani Faggo,2019-06-11,,Shira/Glade,Q4729266,APC
,Umar Muda Lawal,2019-06-11,,Toro,Q4729266,APC
,Tata Omar,2019-06-11,2019-11-14,Zaki,Q4729266,APC
,Muhammad Auwal Jatau,2020-01-29,,Zaki,Q1551163,PDP
,Israel Sunny-Goli,2019-06-11,,Brass/Nembe,Q4729266,APC
,Obua Azibapu Fred,2019-06-11,,Ogbia,Q1551163,PDP
Q79234960,Fred Agbedi,2019-06-11,,Sagbama/Ekeremor,Q1551163,PDP
,Preye Influence Goodluck Oseke,2019-06-11,,Southern Ijaw,Q4729266,APC
,Stephen Azaiki,2019-06-11,,Yenagoa/Kolokuna/Opokuma,Q1551163,PDP
,Francis Ottah Agbo,2019-06-11,,Ado/Obadigbo/Opkokwu,Q1551163,PDP
,Godday Samuel,2019-06-11,2021-09-28,Apa/Agatu,Q6467449,LP
,Godday Samuel,2021-09-28,,Apa/Agatu,Q4729266,APC
,Kpam Sokpo,2019-06-11,,Buruku,Q1551163,PDP
Q16194615,John Dyegh,2019-06-11,2021-12-13,Gboko/Tarka,Q4729266,APC
Q16194615,John Dyegh,2021-12-13,,Gboko/Tarka,Q1551163,PDP
,Benjamin Mzondu,2019-06-11,,Guma/Makurdi,Q1551163,PDP
,Mark Gbillah,2019-06-11,,Gwer East/Gwer West,Q1551163,PDP
,Richard Gbande,2019-06-11,,Katsina-Ala/Ukum/Logo,Q1551163,PDP
,Herman Hembe,2019-06-11,2020-12-08,Konshisha/Vandeikya,Q4729271,APGA
,Herman Hembe,2020-12-08,,Konshisha/Vandeikya,Q4729266,APC
,Robert Tyough,2019-06-11,,Kwande/Ushongo,Q1551163,PDP
,David Agada Ogewu,2019-09-24,2019-10-18,Oju/Obi,Q4729271,APGA
,Samson Okwu,2019-11-19,,Oju/Obi,Q1551163,PDP
Q102199040,Blessing Onuh,2019-06-11,2020-12-08,Otukpo/Ohimini,Q4729271,APGA
Q102199040,Blessing Onuh,2020-12-08,,Otukpo/Ohimini,Q4729266,APC
,Haruna Mshelia,2019-06-11,,Askira-Uba/Hawul,Q4729266,APC
Q101244291,Zainab Gimba,2019-06-11,,Bama/Ngala/Kala-Balge,Q4729266,APC
Q112339804,Muktar Aliyu Betara,2019-06-11,,Biu/Kwaya Kusar/Shani/Bayo,Q4729266,APC
,Ahmadu Usman Jaha,2019-06-11,,Chibok/Damboa/Gwoza,Q4729266,APC
,Ibrahim Mohammed Bukar,2019-06-11,,Dikwa/Mafa/Konduga,Q4729266,APC
,Usman Zannah,2019-06-11,,Gubio/Kaga/Magumeri,Q4729266,APC
Q108753199,Satomi Ahmad,2019-06-11,,Jere,Q4729266,APC
,Bukar Gana Kareto,2019-06-11,,Kukawa/Mobbar/Abadam/Guzamala,Q4729266,APC
,Abdulkadir Rahis,2019-06-11,,Maiduguri (Metropolitan),Q4729266,APC
Q96393681,Mohammed Tahir Monguno,2019-06-11,,Monguno/Marte/Nganzai,Q4729266,APC
,Alex Egbona,2019-06-11,2019-11-02,Abi/Yakurr,Q4729266,APC
,Alex Egbona,2020-01-29,,Abi/Yakurr,Q4729266,APC
,Daniel Effiong Asuquo,2019-06-11,,Akamkpa/Biase,Q1551163,PDP
,Essien Ayi,2019-06-11,,Akpabuyo/Bakassi/Calabar South,Q1551163,PDP
,Eta Mbora Edim,2019-06-11,,Calabar Municipal/Odukpani,Q1551163,PDP
,Chris Ngoro Agibe,2019-06-11,,Ikom/Boki,Q1551163,PDP
,Ochiglegor Idagbo,2019-06-11,2021-06-29,Obanliku/Obudu/Bekwarra,Q1551163,PDP
,Ochiglegor Idagbo,2021-06-29,,Obanliku/Obudu/Bekwarra,Q4729266,APC
,Michael Etaba,2019-06-11,2021-06-29,Obubra/Etung,Q1551163,PDP
,Michael Etaba,2021-06-29,,Obubra/Etung,Q4729266,APC
Q35538185,Agom Jarigbe,2019-06-11,2021-09-15,Ogoja/Yala,Q1551163,PDP
,Jude Ngaji,2022-03-10,,Ogoja/Yala,Q4729266,APC
,Ndudi Elumelu,2019-06-11,,Aniocha/Oshimili,Q1551163,PDP
,Nicholas Mutu,2019-06-11,,Bomadi/Patani,Q1551163,PDP
Q26896971,Julius Gbabojor Pondi,2019-06-11,,Burutu,Q1551163,PDP
,Ben Igbakpa,2019-06-11,,Ethiope East/Ethiope West,Q1551163,PDP
,Victor Nwokolo,2019-06-11,,Ika North East/Ika South,Q1551163,PDP
Q28968132,Ogor Okuweh,2019-06-11,,Isoko South/Isoko North,Q1551163,PDP
,Efe Afe,2019-06-11,,Okpe/Sapele/Uvwie,Q1551163,PDP
,Ossai Nicholas Ossai,2019-06-11,,Nkokwa East/Ndokwa West/Ukwuani,Q1551163,PDP
Q98153229,Francis Waive,2019-06-11,,Ughelli North/Ughelli South/Udu,Q4729266,APC
,Thomas Ereyitomi,2019-06-11,,Warri North/Warri South/Warri South West,Q1551163,PDP
,Sylvester Ogbaga,2019-06-11,,Abakaliki/Izzi,Q1551163,PDP
Q110043380,Iduma Igariwey,2019-06-11,,Afikpo North/Afikpo South,Q1551163,PDP
,Chukwuma Nwazunku,2019-06-11,,Ebonyi/Ohaukwu,Q1551163,PDP
,Edwin Anayo,2019-06-11,,Ezza North/Ishielu,Q1551163,PDP
,Lazarus Ogbee,2019-06-11,2019-09-09,Ezza South/Ikwo,Q1551163,PDP
,Chinedu Ogah,2019-11-19,,Ezza South/Ikwo,Q4729266,APC
,Livinus Makwe,2019-06-11,,Ivo/Ohaozara/Onicha,Q1551163,PDP
,Kabiru Adjoto,2019-06-11,2019-06-21,Akoko-Edo,Q4729266,APC
,Peter Ohiozojeh Akpatason,2019-07-03,,Akoko-Edo,Q4729266,APC
,Jude Ise-Idehen,2019-06-11,,Egor/Ikpoba-Okha,Q1551163,PDP
Q35536375,Joe Edionwele,2019-06-11,,Esan Central/Esan South/Igueben,Q1551163,PDP
,Sergius Ogun,2019-06-11,,Esan North East/Esan South East,Q1551163,PDP
Q96384703,Johnson Oghuma,2019-06-11,,Etsako East/Etsako West Etsako Central,Q4729266,APC
,Omoregie Ogbeide-Ihama,2019-06-11,,Oredo,Q1551163,PDP
,Patrick Aisowieren,2019-06-11,,Orhionmwon/Uhunmwonde,Q4729266,APC
,Dennis Idahosa,2019-06-11,,Ovia North East/Ovia South West,Q1551163,PDP
Q16187120,Julius Ihonvbere,2019-06-11,,Owan East/Owan West,Q4729266,APC
,Olusola Steve Fatoba,2019-06-11,,Ado Ekiti/Irepodun-Ifelodun,Q4729266,APC
,Raphael Adeyemi Adaramodu,2019-06-11,,Ekiti South West/Ikere/Ise/Orun,Q4729266,APC
Q52151627,Richard Bamisile,2019-06-11,,Emure/Gbonyin/Ekiti East,Q4729266,APC
,Ibrahim Kunle Olanrewaju,2019-06-11,,"Ido/Osi, Moba/Ilejeme",Q4729266,APC
Q102229778,Ogunlola Olubunmi,2019-06-11,,Ijero/Ekiti West/Efon,Q4729266,APC
,Kehinde Agboola,2019-06-11,2019-06-21,Ikole/Oye,Q1551163,PDP
,Peter Owolabi,2019-07-10,,Ikole/Oye,Q4729266,APC
,Toby Okechukwu,2019-06-11,,Aninri/Awgu/Oji River,Q1551163,PDP
,Cornelius Nnaji,2019-06-11,,Enugu East/Isi-Uzo,Q1551163,PDP
,Ofor Gregory Chukwuegbo,2019-06-11,,Enugu North/Enugu South,Q1551163,PDP
,Dennis Oguerinwa Amadi,2019-06-11,,Ezeagu/Udi,Q1551163,PDP
,Martins Oke,2019-06-11,,Igbo-Etiti/Uzo-Uwani,Q1551163,PDP
,Simon Atigwe,2019-06-11,,Igboeze North/Udenu,Q1551163,PDP
,Nnolim Nnaji,2019-06-11,,Nkanu East/Nkanu West,Q1551163,PDP
,Pat Asadu,2019-06-11,,Nsukka/Igbo-Eze South,Q1551163,PDP
,Hassan Usman Sokodabo,2019-06-11,,Abaji/Gwagwalada/Kwali/Kuje,Q1551163,PDP
,Micah Jiba,2019-06-11,,AMAC/Bwari,Q1551163,PDP
,Usman Bello Kumo,2019-06-11,,Akko,Q4729266,APC
Q69541341,Victor Mela Danzaria,2019-06-11,,Balanga/Billiri,Q4729266,APC
Q35537790,Aishatu Jibril Dukku,2019-06-11,,Dukku/Nafada,Q4729266,APC
,Yaya Bauchi Tango,2019-06-11,2022-01-22,Gombe/Kwami/Funakaye,Q4729266,APC
,Yaya Bauchi Tango,2022-01-24,,Gombe/Kwami/Funakaye,Q1551163,PDP
Q107185292,Simon Elisha Karu,2019-06-11,,Kaltungo/Shongom,Q4729266,APC
,Yunusa Ahmad Abubakar,2019-06-11,,Yamaltu/Deba,Q4729266,APC
Q71725691,Bede Eke,2019-06-11,,Aboh Mbaise/Ngor Okpala,Q1551163,PDP
,Emeka Chinedu,2019-06-11,,Ahiazu Mbaise/Ezinihitte,Q1551163,PDP
Q66901800,Chukwuemeka Nwajiuba,2019-06-11,2019-07-24,Ehime Mbano/Ihitte Uboma/Obowo,Q4672709,A
Q66901800,Chukwuemeka Nwajiuba,2019-07-24,2019-08-07,Ehime Mbano/Ihitte Uboma/Obowo,Q4729266,APC
,Chike Okafor,2019-09-17,,Ehime Mbano/Ihitte Uboma/Obowo,Q4729266,APC
,Paschal Chigozie Obi,2019-06-11,2020-02-13,Ideato North/Ideato South,Q1786089,AA
,Paschal Chigozie Obi,2020-02-13,2022-04-16,Ideato North/Ideato South,Q4729266,APC
,Paschal Chigozie Obi,2022-04-16,,Ideato North/Ideato South,Q1551163,PDP
Q35539780,Henry Nwawuba,2019-06-11,,Ikeduru/Mbaitoli,Q1551163,PDP
,Obinna Onwubuariri,2019-06-11,2019-09-18,Isiala Mbano/Okigwe/Onuimo,Q1551163,PDP
Q102187913,Miriam Onuoha,2020-01-29,,Isiala Mbano/Okigwe/Onuimo,Q4729266,APC
Q28030538,Ugonna Ozurigbo,2019-06-03,2022-04-23,Isu/Njaba/Nkwerre/Nwangele,Q4729266,APC
Q28030538,Ugonna Ozurigbo,2022-04-23,,Isu/Njaba/Nkwerre/Nwangele,Q1551163,PDP
,Uju Kingsley Chima,2019-06-11,2020-02-13,Oguta/Ohaji/Egbema/Oru West,Q1786089,AA
,Uju Kingsley Chima,2020-02-13,,Oguta/Ohaji/Egbema/Oru West,Q4729266,APC
,Jerry Alagbaoso,2019-06-11,2019-11-01,Oru East/Orsu/Orlu,Q1551163,PDP
,Jerry Alagbaoso,2020-01-30,,Oru East/Orsu/Orlu,Q1551163,PDP
,Ikenna Elezieanya,2019-06-11,,Owerri Municipal/Owerri North/Owerri West,Q1551163,PDP
Q80574278,Muhammadu Adamu Fagen-Gawo,2019-06-11,2019-12-31,Babura/Garki,Q4729266,APC
,Musa Muhammadu Fagen-Gawo,2020-03-19,,Babura/Garki,Q4729266,APC
,Magaji Da'u Aliyu,2019-06-11,,Birnin Kudu/Buji,Q4729266,APC
,Abubakar Hassan Fulata,2019-06-11,,Birniwa/Guri/Kirikasamma,Q4729266,APC
,Ibrahim Abdullahi Dutse,2019-06-11,,Dutse/Kiyawa,Q4729266,APC
,Nazifi Sani Gumel,2019-06-11,,Gagarawa/Gumel/Maigatari/Sule Tankarkar,Q4729266,APC
,Yuguda Hassan-Kila,2019-06-11,2021-03-04,Gwaram,Q4729266,APC
,Yusuf Galami,2021-06-29,,Gwaram,Q4729266,APC
,Usman Ibrahim Auyo,2019-06-11,,Hadejia/Auyo/Kafin Hausa,Q4729266,APC
Q35538247,Muhammed Gudaji Kazaure,2019-06-11,,Kazaure/Roni/Gwiwa/Yankwashi,Q4729266,APC
,Makki Abubakar Yalleman,2019-06-11,,Mallam Madori/Kaugama,Q4729266,APC
,Yusuf Sa'idu Miga,2019-06-11,,Jahun/Miga,Q4729266,APC
,Ado Sani Kiri,2019-06-11,,Ringim/Taura,Q4729266,APC
,Shehu Balarabe,2019-06-11,,Birnin Gwari/Giwa,Q4729266,APC
Q28968135,Yakubu Umar Barde,2019-06-11,,Chikun/Kajuru,Q1551163,PDP
,Muhammad Abubakar Mamadi,2019-06-11,2019-06-14,Igabi,Q4729266,APC
,Zayyad Ibrahim,2019-07-03,,Igabi,Q4729266,APC
,Hamisu Ibrahim Kubau,2019-06-11,,Ikara/Kubau,Q4729266,APC
,Shehu Nicholas Garba,2019-06-11,,Jema’a/Sanga,Q1551163,PDP
,Gabriel Saleh Zock,2019-06-11,,Kachia/Kagarko,Q4729266,APC
Q28051589,Samaila Suleiman,2019-06-11,2022-03-08,Kaduna North,Q4729266,APC
Q28051589,Samaila Suleiman,2022-03-16,,Kaduna North,Q1551163,PDP
,Mukhtar Ahmed,2019-06-11,,Kaduna South,Q4729266,APC
Q35537705,Gideon Lucas Gwani,2019-06-11,,Kaura,Q4729266,APC
,Mukhtar Zakari Chawai,2019-06-11,,Kauru,Q4729266,APC
,Suleiman Aliyu Lere,2019-06-11,2019-11-07,Lere,Q4729266,APC
,Lawal Rabiu,2019-12-18,2020-10-30,Lere,Q1551163,PDP
,Suleiman Aliyu Lere,2021-02-16,2021-04-06,Lere,Q4729266,APC
,Ahmed Munir,2021-09-15,,Lere,Q4729266,APC
,Mukhtar Shehu Ladan,2019-06-11,,Makarfi/Kudan,Q4729266,APC
,Garba Datti Muhammad,2019-06-11,,Sabon Gari,Q4729266,APC
,Ibrahim Hamza,2019-06-11,,Soba,Q1551163,PDP
,Amos Gwamna Magaji,2019-06-11,,Zangon Kataf/Jaba,Q1551163,PDP
,Tajudeen Abbas,2019-06-11,,Zaria,Q4729266,APC
,Abdullahi Mahmud Gaya,2019-06-11,,Albasu/Gaya/Ajingi,Q4729266,APC
Q4666159,Abdulmumin Jibrin,2019-06-11,2019-11-01,Bebeji/Kiru,Q4729266,APC
,Ali Datti-Yako,2020-01-29,2020-12-15,Bebeji/Kiru,Q1551163,PDP
,Ali Datti-Yako,2020-12-15,,Bebeji/Kiru,Q4729266,APC
Q104525030,Abubakar Kabir Abubakar,2019-06-11,,Bichi,Q4729266,APC
,Babangida Alhassan Abdullahi,2019-06-11,,Dala,Q4729266,APC
,Badamasi Ayuba,2019-06-11,2022-05-13,Danbatta/Makoda,Q4729266,APC
,Badamasi Ayuba,2022-05-13,,Danbatta/Makoda,Q1786089,NNPP
Q20740791,Alhassan Doguwa,2019-06-11,2019-11-04,Doguwa/Tudun Wada,Q4729266,APC
Q20740791,Alhassan Doguwa,2020-01-29,,Doguwa/Tudun Wada,Q4729266,APC
,Mustapha Dawaki,2019-06-11,,Dawakin Kudu/Warawa,Q4729266,APC
,Tijjani Abdulkadir Jobe,2019-06-11,2022-05-05,Dawakin Tofa/Tofa/Rimin Gado,Q4729266,APC
,Tijjani Abdulkadir Jobe,2022-05,,Dawakin Tofa/Tofa/Rimin Gado,Q1786089,NNPP
,Aminu Sulaiman,2019-06-11,,Fagge,Q4729266,APC
,Mahmoud Muhammed,2019-06-11,2019-06-25,Gabasawa/Gezawa,Q4729266,APC
,Nasiru Abduwa Gabasawa,2019-07-03,,Gabasawa/Gezawa,Q4729266,APC
,Musa Umar Garo,2019-06-11,,Gwarzo/Kabo,Q4729266,APC
,Lawan Abdullahi Ken-Ken,2019-06-11,,Gwale,Q4729266,APC
,Munir Babba Dan'Agundi,2019-06-11,2019-09-10,Kumbotso,Q4729266,APC
,Munir Babba Dan'Agundi,2020-01-29,,Kumbotso,Q4729266,APC
Q106653074,Sha'aban Ibrahim Sharada,2019-06-11,,Kano Municipal,Q4729266,APC
,Sani Umar Bala,2019-06-11,,Kunchi/Tsanyawa,Q4729266,APC
,Haruna Isah Dederi,2019-06-11,,Karaye/Rogo,Q4729266,APC
,Kabiru Idris,2019-06-11,,Kura/Madobi/Garun Malam,Q4729266,APC
,Sani Ma'aruf Nass,2019-06-11,,Minjibir/Ungogo,Q4729266,APC
,Nassir Ali Ahmad,2019-06-11,,Nasarawa,Q4729266,APC
Q105445777,Kabiru Alhassan Rurum,2019-06-11,2022-05-08,Rano/Bunkure/Kibiya,Q4729266,APC
Q105445777,Kabiru Alhassan Rurum,2022-05,,Rano/Bunkure/Kibiya,Q1786089,NNPP
,Shamsudeen Bello Dambazau,2019-06-11,2022-05-29,Sumaila/Takai,Q4729266,APC
,Shamsudeen Bello Dambazau,2022-05-29,,Sumaila/Takai,Q1786089,NNPP
,Yusuf Ahmad Badau,2019-06-11,,Shanono/Bagwai,Q4729266,APC
,Hafiz Ibrahim Kawu,2019-06-11,,Tarauni,Q4729266,APC
,Muhammad Ali Wudil,2019-06-11,,Wudil/Garko,Q4729266,APC
,Yakubu Nuhu Danja,2019-06-11,2019-07,Bakori/Danja,Q4729266,APC
,Amiruddin Tukur,2019-07-25,,Bakori/Danja,Q4729266,APC
,Hamza Dalhatu Batagarawa,2019-06-11,,Batagarawa/Charanchi/Rimi,Q4729266,APC
,Ahmed Dayyabu Safana,2019-06-11,,Batsari/Safana/Danmusa,Q4729266,APC
,Aminu Ashiru Mani,2019-06-11,,Bindawa/Mani,Q4729266,APC
,Fatahu Muhammad,2019-06-11,,Daura/Sandamu/Mai’adua,Q4729266,APC
,Armaya'u Abdulkadir,2019-06-11,,Dutsin-Ma/Kurfi,Q4729266,APC
,Murtala Isah Kankara,2019-06-11,,Faskari/Kankara/Sabuwa,Q4729266,APC
,Mohammed Muntari Dandutse,2019-06-11,,Funtua/Dandume,Q4729266,APC
,Sada Soli,2019-06-11,,Jibia/Kaita,Q4729266,APC
,Salisu Iro Isansi,2019-06-11,,Katsina,Q4729266,APC
,Abubakar Yahaya Kusada,2019-06-11,,Ingawa/Kankia/Kusada,Q4729266,APC
,Babangida Ibrahim,2019-06-11,,Malumfashi/Kafur,Q4729266,APC
,Mansur Aliyu Mashi,2019-06-11,,Mashi/Dutsi,Q4729266,APC
,Ahmed Usman Liman,2019-06-11,,Matazu/Musawa,Q4729266,APC
,Nasiru Sani,2019-06-11,,Zango/Baure,Q4729266,APC
,Muhammad Umar Jega,2019-06-11,,Aleiro/Gwandu/Jega,Q4729266,APC
,Umar Abdullahi Kamba,2019-06-11,,Arewa/Dandi,Q4729266,APC
,Basher Isah,2019-06-11,,Argungu/Augie,Q4729266,APC
,Bello Kaoje,2019-06-11,,Bagudo/Suru,Q4729266,APC
,Muhammad Bello Yakubu,2019-06-11,2022-03-31,Bunza/Birnin Kebbi/Kalgo,Q4729266,APC
,Muhammad Bello Yakubu,2022-03-31,,Bunza/Birnin Kebbi/Kalgo,Q1551163,PDP
Q90325412,Kabir Tukura Ibrahim,2019-06-11,,Fakai/Sakaba/Wasagu/Danko/Zuru,Q4729266,APC
,Shehu Mohammed Koko,2019-06-11,,Koko-Besse/Maiyama,Q4729266,APC
,Yusuf Tanko Sununu,2019-06-11,,Ngaski/Shanga/Yauri,Q4729266,APC
,Joseph Bello,2019-06-11,,Adavi/Okehi,Q4729266,APC
,Lawal Muhammadu Idirisu,2019-06-11,2019-10-28,Ajaokuta,Q4729266,APC
,Lawal Muhammadu Idirisu,2019,2022-05,Ajaokuta,Q4729266,APC
,Lawal Muhammadu Idirisu,2022-05,,Ajaokuta,Q1786089,NNPP
Q107596091,Ali Abdullahi Ibrahim,2019-06-11,,Ankpa/Omala/Olamaboro,Q4729266,APC
,Hassan Abdullahi Baiwa,2019-06-11,,Bassa/Dekina,Q4729266,APC
Q68621515,David Idris Zacharias,2019-06-11,,Ibaji/Idah/Igalamela/Odolu,Q4729266,APC
Q107709606,Tajudeen Yusuf,2019-06-11,,Kabba/Bunu/Ijumu,Q1551163,PDP
,Abdulkareem Usman Isah,2019-06-11,2019-10-24,Lokoja,Q4729266,APC
,Shaba Ibrahim,2019-11-13,,Lokoja,Q1551163,PDP
,Yusuf Ahmed Tijjani,2019-06-11,,Okene/Ogori-Magogo,Q4729266,APC
,Leke Abejide,2019-06-11,,Yagba East/Yagba West/Mopamuro,Q60143323,ADC
,Abdulyekeen Alajagusi,2019-06-11,,Asa/Ilorin West,Q4729266,APC
,Mohammed Omar Bio,2019-06-11,,Baruten/Kaiama,Q4729266,APC
,Ahmed Abubakar Ndakene,2019-06-11,,Edu/Moro/Pategi,Q4729266,APC
Q105393512,Raheem Olawuyi,2019-06-11,,Ekiti/Isin/Irepodun/Oke-ero,Q4729266,APC
,Abdulganiyu Saka Cook Olododo,2019-06-11,2022-05,Ilorin East/Ilorin South,Q4729266,APC
,Abdulganiyu Saka Cook Olododo,2022-05,,Ilorin East/Ilorin South,Q7550561,SDP
,Ismail Tijani,2019-06-11,,Offa/Oyun/Ifelodun,Q4729266,APC
,Samuel Babatunde Adejare,2019-06-11,,Agege,Q4729266,APC
,Taiwo Kolawole,2019-06-11,,Ajeromi/Ifelodun,Q4729266,APC
,Olufemi Adebanjo,2019-06-11,,Alimosho,Q4729266,APC
,Oghene Egoh,2019-06-11,,Amuwo Odofin,Q1551163,PDP
,Mufutau Egberongbe,2019-06-11,,Apapa,Q4729266,APC
Q97483725,Babatunde Hunpe,2019-06-11,,Badagry,Q4729266,APC
,Tasir Wale Raji,2019-06-11,,Epe,Q4729266,APC
,Ibrahim Babajide Obanikoro,2019-06-11,,Eti-Osa,Q4729266,APC
,Adebayo Olusegun Balogun,2019-06-11,,Ibeju-Lekki,Q4729266,APC
,James Owolabi,2019-06-11,,Ifako/Ijaiye,Q4729266,APC
Q78170274,Abiodun Faleke,2019-06-11,,Ikeja,Q4729266,APC
,Babajimi Benson,2019-06-11,,Ikorodu,Q4729266,APC
,Rotimi Agunsoye,2019-06-11,,Kosofe,Q4729266,APC
Q35537872,Enitan Badru,2019-06-11,,Lagos Island I,Q4729266,APC
