item,itemLabel,start,end,psid
Q6287738,Joseph Waku,1999-05,2003-05,Q6287738-BDE8F583-3951-4FBE-9C89-DF5AE9562A94
Q6301957,Jibril Aminu,2003-05-29,2011-05,Q6301957-190F64C3-62D2-4C80-9E29-8453A7C94F8F
Q6399043,Khairat Abdulrazaq-Gwadabe,1999,2003,Q6399043-EDAED6BC-BF45-4847-A6E6-918547D3D215
Q6503559,Lawali Shuaibu,1999,2003,Q6503559-C27D68BA-69FF-4968-8783-17E974736862
Q6503822,Lawrence Ayo,1999,2003,Q6503822-015753D1-8BA7-4715-8CBE-8DFD01CAAB52
Q6736241,Maina Maaji Lawan,1999-05-29,2003-05-29,Q6736241-3F20D1A1-F8D4-4EBE-8613-37FEA55A3D2B
Q6745774,Mamman Bello Ali,1999,2003,Q6745774-B3E0798C-BEAF-4697-9690-6CFDFA3DA08C
Q6785804,Mas’ud El-Jibril,2000,2003,Q6785804-C9005DDE-9BB2-465A-9282-FC51CC95935D
Q6812232,Melford Okilo,1999-05,2003-05,Q6812232-44707FAD-1A3E-4683-A94D-5C546A1DA831
Q6893384,Mohammed Tukur Liman,1999-05-29,2003-05-29,Q6893384-500BEA96-5BF2-421F-8A95-EA918BD3AAB6
Q7068794,Nuhu Aliyu Labbo,1999-05,2011-05,Q7068794-6938AE10-EE3C-4969-BD08-17AC4656A429
Q7082910,Olabiyi Durojaiye,1999,2003,Q7082910-F4C82E63-96A9-4941-8BB5-53A5ECAD355B
Q7090619,Omololu Meroyi,1999,2003,Q7090619-DB285805-D52D-465D-AC7F-F0B120FD0B4C
Q7399992,Saidu Dansadau,1999,2003,Q7399992-87F3F169-8C97-42C3-8D75-BE8FCD516669
Q7408942,Sama’ila Mamman,1999-05,2003-05,Q7408942-5CA1540F-11E1-44CA-BB01-55180C913FFA
Q7852884,Tunde Ogbeha,1999-05,2007-05,Q7852884-3604D2D6-261D-48C3-9C24-97363B2353BB
Q7877282,Udoma Udo Udoma,1999,2003,Q7877282-7D92A5E0-617D-4F52-8C13-58A7B2EA9440
Q7902039,Usman Albishir,1999,2003,Q7902039-16F1C3A4-FB10-4781-AD1B-79202EC42917
Q8061881,Yushau Anka,1999,2003,Q8061881-E7AD4F95-3689-47C0-8923-51D6EF2BEB24
Q94410197,Ibrahim Nasiru Mantu,1999,2003,Q94410197-C31B85B6-D7E0-4959-B9F2-9CB6DCB71D9E
