item,itemLabel,start,end,psid
Q5348580,Ehigie Edobor Uzamere,2007-06-05,2011-06-06,Q5348580-2893CA5C-FEA5-498A-98D4-4CAABDCC5171
Q5370301,Eme Ufot Ekaette,2007-06-05,2011-06-06,Q5370301-4E92ED3A-3832-4871-96A8-20BA9543BAF8
Q5373326,Emmanuel Paulker,2007-06-05,2011-06-06,Q5373326-503AF41A-5B6D-40EB-B218-1A85C53F6F84
Q5381464,Enyinnaya Abaribe,2007-06-05,2011-06-06,Q5381464-9E0B50A0-02DC-4A33-8059-485E59300498
Q5442251,Felix Kolawole Bajomo,2007-06-05,2011-06-06,Q5442251-D3139732-C75D-4A12-92C1-7F56863C8250
Q5445889,Festus Olabode Ola,2007-06-05,2011-06-06,Q5445889-D4DE5FD2-71FB-4439-B76C-9A5023C926EE
Q5521330,Ganiyu Solomon,2007-06-05,2011-06-06,Q5521330-A2E04711-296C-4488-A516-54AB442A55DF
Q5521971,Garba Yakubu Lado,2007-06-05,2011-06-06,Q5521971-97C79934-6EF3-484C-92CC-44627BD762D5
Q5529326,Gbemisola Ruqayyah Saraki,2007-06-05,2011-06-06,Q5529326-7D4BD893-03DD-4FCF-B3C2-1F5D78D769BE
Q5529332,Gbenga Ogunniya,2007-06-05,2011-06-06,Q5529332-9919FDA4-C1C8-4396-811A-26C943F51B7C
Q5545186,George Thompson Sekibo,2007-06-05,2011-06-06,Q5545186-EB579D85-547E-40AB-980E-48575FF6B7B6
Q5591175,Grace Folashade Bent,2007-06-05,2011-06-06,Q5591175-D530DA70-919B-4C05-BACA-5376C09CD400
Q5607086,Gregory Ngaji,2007-06-05,2011-06-06,Q5607086-C3CEC7B8-2BB8-48D7-BFA0-DD6EF1BEDF15
Q5623995,Gyang Dalyop Datong,2007-06-05,2011-06-06,Q5623995-F04E1554-B0C1-42FA-9C36-848FC71780DB
Q5679766,Hassan Muhammed Gusau,2007-06-05,2011-06-06,Q5679766-E532E90B-3728-4984-BDEC-208045A96F09
Q5984649,Ibrahim M. Ida,2007-06-05,2011-06-06,Q5984649-2F0FAF7E-87CC-4FAE-8E59-AA1E98458A60
Q6080812,Isiaka Adetunji Adeleke,2007-06-05,2011-06-06,Q6080812-CA67E066-2322-4A03-946A-388E7C45EA53
Q6138857,James Manager,2007-06-05,2011-06-06,Q6138857-21CDAD27-B0ED-44E3-93E6-D7C757FB9BC5
Q6213354,Joel Danlami Ikenya,2007-06-05,2011-06-06,Q6213354-F72F3AAE-947C-4314-B66A-5CA3BD4915F7
Q6250148,John Nanzip Shagaya,2007-06-05,2011-06-06,Q6250148-5DA252ED-2B96-4295-A286-FEEC241E6AEF
Q6280933,Joseph Akaagerger,2007-06-05,2011-06-06,Q6280933-7726D013-7F29-4881-BE9D-D6813CB98A43
Q6297113,Joy Emodi,2007-06-05,2011-06-06,Q6297113-23B5473E-8F05-4F61-97B4-620F7086FA24
Q6301957,Jibril Aminu,2003-05-29,2011-05,Q6301957-190F64C3-62D2-4C80-9E29-8453A7C94F8F
Q6310120,Julius Ucha,2007-06-05,2011-06-06,Q6310120-F45D1168-3E85-4754-B9A6-ABFFB5DFF5D0
Q6344250,Kabiru Ibrahim Gaya,2007-06-05,2011-06-06,Q6344250-A7C32652-0C53-4CE0-A78D-39037347D2D1
Q6349100,Kaka Mallam Yale,2007-06-05,2011-06-06,Q6349100-AF2B3661-E2F9-4138-BC57-0C7BB6067FB4
Q6359013,Kamorudeen Adekunle Adedibu,2007-06-05,2011-06-06,Q6359013-5B4FAB42-89FB-4A91-BBE8-E3F6FAF81996
Q6380074,Kawu Peto Dukku,2007-06-05,2011-06-06,Q6380074-803BEB91-40D3-48E0-811A-060067DB7C66
Q6514449,Lee Maeba,2007-06-05,2011-06-06,Q6514449-E20C761A-CC3A-4377-BA80-C31A92BEE6E8
Q6734487,Mahmud Kanti Bello,2007-06-05,2011-06-06,Q6734487-DADF73A0-1EEF-4A12-AF31-6EFC8A265109
Q6736241,Maina Maaji Lawan,2007-06-05,2011-06-06,Q6736241-9E62DB4C-8838-47AB-90C9-3EEE862F7168
Q6892866,Mohammed Adamu Bello,2007-06-05,2011-06-06,Q6892866-5D4B326D-FAD3-402D-8AE9-372F8E282A47
Q6893162,Mohammed Kabiru Jibril,2007-06-05,2011-06-06,Q6893162-078078B2-B961-448B-B5ED-763A472ED575
Q6893199,Mohammed Mana,2007-06-05,2011-06-06,Q6893199-33555067-E0D1-4973-BBEF-CFFD782A063B
Q6933348,Mujitaba Mohammed Mallam,2007-06-05,2011-06-06,Q6933348-270183A6-06E1-4E9B-9799-793301478CCD
Q6936675,Munirudeen Adekunle Muse,2007-06-05,2011-06-06,Q6936675-DD725F1D-4967-47D9-9E73-073E35B7B9A6
Q7026337,Nicholas Ugbane,2007-06-05,2011-06-06,Q7026337-359EC162-4957-4A51-BEF1-3DD5C74D5E54
Q7042547,Nkechi Justina Nwaogu,2007-06-05,2011-06-06,Q7042547-70147DB1-CB8A-44B0-AD4D-118ABEB6831D
Q7068794,Nuhu Aliyu Labbo,1999-05,2011-05,Q7068794-6938AE10-EE3C-4969-BD08-17AC4656A429
Q7077836,Odion Ugbesia,2007-06-05,2011-06-06,Q7077836-AE0A065E-1934-4727-9167-D8FA39C9027C
Q7089709,Omar Hambagda,2007-06-05,2011-06-06,Q7089709-3397DF28-D60C-43AC-995B-4CDDCB43E6E9
Q7106879,Osita Izunaso,2007-06-05,2011-06-06,Q7106879-049DFB47-FB55-4620-A9AA-5B40CB0E88DC
Q7108462,Otaru Salihu Ohize,2007-06-05,2011-06-06,Q7108462-C30FE72A-FFBD-4B30-A916-0C2CC1FB8DF1
Q7145448,Patricia Akwashiki,2007-06-05,2011-06-06,Q7145448-D2EF37EC-771A-4EDE-9B59-AB4EED286221
Q7147437,Patrick Osakwe,2007-06-05,2011-06-06,Q7147437-45318C09-D3A2-4922-BC08-44374CF43639
Q7395446,Sa'idu Ahmed Alkali,2007-06-05,2011-06-06,Q7395446-584A51C5-9CFD-4370-90D5-DE4F9A0C82CA
Q7399413,Sahabi Alhaji Yaú,2007-06-05,2011-06-06,Q7399413-4866F9E4-6D2B-4170-A79E-C8ACCDF8F115
Q7426552,Satty Davies Gogwim,2007-06-05,2011-06-06,Q7426552-AE7F1543-AFFC-4E37-884B-067CAF8E5FEE
Q7517631,Simeon Oduoye,2007-06-05,2011-06-06,Q7517631-B4C206C4-921C-4B5D-9434-DC317BB6A75E
Q7518155,Simon Ajibola,2007-06-05,2011-06-06,Q7518155-70DB1D67-582D-4B70-A383-665A7B669131
Q7543924,Smart Adeyemi,2007-06-05,2011-06-06,Q7543924-7C9AC376-1E01-4A8D-A53E-E05F4C464F2B
Q7635965,Sulaiman Mohammed Nazif,2007-06-05,2011-06-06,Q7635965-A7D088F4-F6DD-4652-BBC3-CB50E2FE02AF
Q7636116,Suleiman Adokwe,2007-06-05,2011-06-06,Q7636116-C5BFD1E3-A905-4390-94C2-A2C18914155E
Q7660767,Sylvester Anyanwu,2007-06-05,2011-06-06,Q7660767-D6DBDD82-A6D9-42C7-83D4-212353D08339
Q7660769,Sylvester Ayodele Arise,2007-06-05,2011-06-06,Q7660769-80546992-10BF-4DF0-85E1-C651CB1C9F45
Q7689220,Tawar Umbi Wada,2007-06-05,2011-06-06,Q7689220-FE4F3E46-A248-4F00-9850-1BE3AE561603
Q7705525,Teslim Folarin,2007-06-05,2011-06-06,Q7705525-024280BF-A96E-4EB7-B2C0-BDFF36644583
Q7881169,Umaru Argungu,2007-06-05,2011-06-06,Q7881169-40051ADC-FF8C-4EC8-8C80-5D39D323BBE8
Q7881173,Umaru Dahiru,2007-06-05,2011-06-06,Q7881173-A6829574-B331-4DD2-8545-73FCC2C15F95
Q8022970,Wilson Asinobi Ake,2007-06-05,2011-06-06,Q8022970-DE0539DC-93FF-40EB-A193-577A2ACB1AC5
Q8053833,Yisa Braimoh,2007-06-05,2011-06-06,Q8053833-6D5AFF40-DBD8-4E3C-A1C7-872433AFF54F
Q8064832,Zainab Abdulkadir Kure,2007-06-05,2011-06-06,Q8064832-CEACFED0-8B85-43D3-B7F4-623214AD5194
