item,name,party,constituency,startDate,endDate,gender,psid
Q111141430,Abdulkarim Usman,PDP,Akwanga/Nassarawa Eggon/Wamba,2019-06-11,,,Q111141430-945053D8-E53C-4F40-9E07-98A03CFC7735
Q111141431,Abdullahi Mamudu,APC,Agaie/Lapai,2019-06-11,,,Q111141431-0A0220E7-C28D-49EF-8694-7BE3CB3598E3
Q111141433,Abdullahi Saad Abdulkadir,APC,Ningi/Warji,2019-06-11,,,Q111141433-121A2DB3-18E0-4E0B-8F4A-83766DCD78B3
Q111141434,Abdulmumin Ari Mohammed,APC,Nassarawa/Toto,2019-06-11,,,Q111141434-7991C005-8D5C-4634-862B-522FFC0F6038
Q111141435,Alajagusi Abdulyekeen Sadiq,APC,,2019-06-11,,,Q111141435-0CC8A75B-BBF7-4A42-94C6-D8374B3CBF77
Q111141437,Abubakar Abdullai Ahmad,PDP,Sokoto North/Sokoto South,2020-01-30,,,Q111141437-F8D8CA2E-F873-46FE-8CCE-55D395313C12
Q111141438,Kani Faggo Abubakar,APC,Shira/Giade,2019-06-11,,,Q111141438-E7DC2CC4-3A00-4BB4-907F-F3D953469878
Q111141439,Abubakar Hassan Nalaraba,APC,Awe/Doma/Keana,2019-06-11,,,Q111141439-7B739097-B898-45A4-BCE4-B6C26795FA34
Q111141441,Abubakar Yabo Umaru,APC,Yabo/Shagari,2019-06-11,,,Q111141441-A1A12F0A-D4B0-4C79-B746-2FC5D677EEB6
Q111141443,Idiris Abubakar Ajeje,APC,Fika/Fune,2019-06-11,,,Q111141443-5428152A-C35C-48A7-8E13-8D888A2E6ABD
Q111141444,Adedeji Stanley Olajide,PDP,,2019-06-11,,,Q111141444-D4FD6F9F-A1D3-4F01-9D09-003A3A29D2E4
Q111141446,Adejoro Adeogun,APC,Akoko South East/Akoko South West,2019-06-11,,,Q111141446-50BAAA4A-764E-4DA4-9739-BA0A03CA5941
Q111141447,Aliu Ademorin Kuye,APC,,2019-06-11,,,Q111141447-AA8F404C-02E2-442A-9BB9-1CA69B0F915A
Q111141449,Adeyemi Taofeek Alli,APC,Mushin I,2019-06-11,,,Q111141449-504AD777-E987-409C-B762-6B343F05ED80
Q111141450,Ado Sani Kiri,APC,Ringim/Taura,2019-06-11,,,Q111141450-70DB9D3D-F312-4624-A671-E43311165B94
Q111141451,Kalambaina Abdullahi Kalambaina,APC,Kware/Wamakko,2019-06-11,,,Q111141451-B624C6C3-41FD-4B46-AF5F-7342ACC79EFB
Q111141452,Ahmadu Usman Jaha,APC,Damboa/Gwoza/Chibok,2019-06-11,,,Q111141452-7829342D-5D32-4E4B-A738-2EFD144363D1
Q111141453,Ahmed Ndakene Abubakar,APC,Edu/Moro/Pategi,2019-06-11,,,Q111141453-CFBD0E84-6482-4A73-A4D9-76B0DF8846B4
Q111141454,Ahmed Bakura Muhammad,APC,Bakura/Maradun,2021-07-06,,,Q111141454-8DEAA358-3C9D-4B11-A0B9-5499B07C6F8D
Q111141455,Ahmed Madaki Gololo,PDP,Gamawa,2020-02-04,,,Q111141455-5C8FBE50-6D8D-4711-8977-51BFBC10A2E4
Q111141456,Ahmed Munir,APC,Lere,2021-09-15,,,Q111141456-8B800E83-79E5-4CBD-9B80-2F379E4FC5E3
Q111141457,Ahmed Usman Liman,APC,Matazu/Musawa,2019-06-11,,,Q111141457-357102E0-3604-4A13-B7A1-1FCF9B89C1AA
Q111141458,Ajibola Saubana Muraina,PDP,Ibarapa Central/Ibarapa North,2019-06-11,,,Q111141458-13A64220-EE9B-445D-B64E-43D7F17AD8F2
Q111141459,Alex Egbona Egbona,APC,Yakurr/Abi,2020-01-29,,,Q111141459-F9451F0E-1A46-4C2D-8879-950304ACF405
Q111141460,Ali Datti-Yako,APC,Bebeji/Kiru,2020-12-15,,,Q111141460-E2555D78-8F21-4557-A9D4-571DE5B23E09
Q111141461,Aminu Suleiman,APC,Fagge,2019-06-11,,,Q111141461-048F2334-D23E-43AC-8224-4251B919D600
Q111141464,Yinusa Akintola Amobi,APC,Ayedire/Iwo/Ola-Oluwa,2019-06-11,,,Q111141464-E9C6C710-1F0D-4346-ABFB-CAC3A5805E0E
Q111141465,Amos Gwamna Magaji,PDP,Zangon Kataf/Jaba,2019-06-11,,,Q111141465-E7E22721-0E69-48C3-845C-862601D13112
Q111141466,Aniekan John Umanah,PDP,Abak/Etim Ekpo/Ika,2019-06-11,,,Q111141466-5BCDA6CA-A249-4811-ABEF-08A98BB3B3D4
Q111141467,Abdulkadir Armayau,APC,Dutsin-ma/Kurfi,2019-06-11,,,Q111141467-34D071DA-4706-42D1-9DD2-CBE3A54F3444
Q111141470,Babangida Alasan Abdallah,APC,Dala,2019-06-11,,,Q111141470-44CB26C7-1163-428A-9756-DAB51AA4719F
Q111141471,Bala Kokani,APC,Kebbe/Tambuwal,2019-06-11,,,Q111141471-61E4E223-C27D-4319-9267-4E60CD6D7D27
Q111141472,Bamidele Salam,APC,,2019-06-11,,,Q111141472-7A49CC2E-CF36-418C-9A7C-BCF9A08A2FA6
Q111141473,Bashar Isah,APC,Argungu/Augie,2019-06-11,,,Q111141473-6DF6087B-8E65-4471-BEE8-06A00FCC0FC7
Q111141475,Bashir Uba Mashema,APC,,2019-06-11,,,Q111141475-7B64E297-0C1F-4FF0-BA0B-29C61F8AF392
Q111141477,Bashiru Ayinla Dawodu,APC,Oshodi/Isolo I,2019-06-11,,,Q111141477-2E36B3D6-C03F-459C-B8BA-976A0D3BE087
Q111141478,Bello Shinkafi Hassan,APC,Shinkafi/Zurmi,2021-07-06,,,Q111141478-3D6AD47C-ABBF-49E5-9A8E-B715E3A16AEB
Q111141482,Bello A Kaoje,APC,Bagudo/Suru,2019-06-11,,,Q111141482-C5580B7E-32FC-4F73-8451-89D9A908EB0E
Q111141483,Benson Rollands Igbakpa,PDP,Ethiope East/Ethiope West,2019-06-11,,,Q111141483-0813092A-81B8-4DC0-8F7E-20227689B9EE
Q111141484,Bem Benjamin Mzondu,PDP,Guma/Makurdi,2019-06-11,,,Q111141484-2E6558B3-49EC-4D0E-8C05-D5543CFE94A3
Q111141485,Boma Goodhead,PDP,Akuku-Toru/Asari-Toru,2019-06-11,,,Q111141485-4C577710-3C22-4136-A2DD-FEB4C68CA305
Q111141486,Mallam Bukar Gana,APC,,2019-06-11,,,Q111141486-F75DFD0F-C218-4629-96F0-F7763E567B86
Q111141487,Ebisike Iheanyichukwu Chimaobi,PDP,Aba North/Aba South,2021-04-21,,,Q111141487-17015BA2-6F7A-4F04-B547-AA7484844E24
Q111141489,Chinedu Benjamin Obidigwe,APGA,Anambra East/Anambra West,2019-06-11,,,Q111141489-017FB137-6797-4510-9294-A8E24F981D76
Q111141490,Chinedu Nweke Ogah,APC,Ezza South/Ikwo,2019-11-19,,,Q111141490-2D56C35B-0462-44F8-A0DD-AC41DE6013B7
Q111141491,Chris Emeka Azubogu,APC,Nnewi North/Nnewi South/Ekwusigo,2021-09-30,,,Q111141491-B89F7A31-5D49-4AA3-9FED-D0C786ADE385
Q111141492,Christopher Ngoro Agibe,PDP,,2019-06-11,,,Q111141492-056CAC23-DAB3-4F43-97D9-00D9EA0F4B5E
Q111141493,Prince cornelius Nnaedozie Nnaji,PDP,,2019-06-11,,,Q111141493-E729F5E6-CF96-43FE-8E9B-05533A2CE45F
Q111141494,David Abel Fuoh,APC,,2020-10-07,,,Q111141494-A0FCA368-82A9-4CE7-8D0A-B28EE76E83D6
Q111141500,Dennis Idahosa,PDP,Ovia North East/Ovia South West,2019-06-11,,,Q111141500-0204A054-D133-46C9-9297-EC3C721EB4FE
Q111141501,Dozie Ferdinand Nwankwo,APGA,Njikoka/Dunukofia/Anaocha,2019-11-21,,,Q111141501-23C2E970-1F54-4626-984F-9B48CAF1561A
Q111141502,Efe Afe,PDP,Okpe/Sapele/Uvwie,2019-06-11,,,Q111141502-5CBCCF68-8845-43BB-AE58-0F147687F2AC
Q111141503,Emeka Martins Chinedu,PDP,Ahiazu Mbaise/Ezinihitte,2019-06-11,,,Q111141503-4ECD543C-A6DA-4540-895F-BD0DDFA3E877
Q111141505,Emmanuel Effiong Ukpong-udo,PDP,Ikono/Ini,2019-06-11,,,Q111141505-5C799643-C916-44F7-BA7D-7C9151D3C0DD
Q111141506,Fatuhu Muhammed,APC,Daura/Sandamu/Mai’adua,2019-06-11,,,Q111141506-E38F624E-A72D-49E1-B8B0-4353BB14F0A1
Q111141507,Ottah Francis Agbo,PDP,,2019-06-11,,,Q111141507-BF610F18-E488-450B-A127-19BDEF8AD01A
Q111141508,Gabriel Saleh Zock,APC,Kachia/Kagarko,2019-06-11,,,Q111141508-A3ED4D47-698B-408B-9043-F890C98DDCF3
Q111141510,Ganiyu Abiodun Johnson,APC,Oshodi/Isolo II,2019-06-11,,,Q111141510-D0854AB1-7696-4D49-B1D6-F812CEFB9E94
Q111141513,Gboluga Dele Ikengboju,PDP,Okitipupa/Irele,2019-06-11,,,Q111141513-EA43C540-0A9D-400B-A97A-410EAAFC2A63
Q111141515,Gibeon Goroki Miskaru,PDP,Guyuk/Shelleng,2019-06-11,,,Q111141515-7C6EFDA4-BBEC-4A8A-9014-FB40FE2AF5E6
Q111141516,Godday Odagboyi Samuel,APC,Apa/Agatu,2021-09-28,,,Q111141516-F166CE10-3268-4567-A187-03A53B7932FC
Q111141517,Hafiz M kawu Ibrahim,APC,Tarauni,2019-06-11,,,Q111141517-DE365847-A31B-4515-8C87-2A9B8FF9DA66
Q111141518,Hamisu Ibrahim,APC,Ikara/Kubau,2019-06-11,,,Q111141518-2B5CF74D-DC01-46B2-A86E-4C1A4A20E9DE
Q111141519,Hamza Dalhatu,APC,Batagarawa/Charanchi/Rimi,2019-06-11,,,Q111141519-8EF6A999-4218-44F7-8911-DB7A1F6CAE22
Q111141520,Haruna Isa Dederi,APC,Karaye/Rogo,2019-06-11,,,Q111141520-A3AF11DB-36AD-4112-B96D-6D88C941DC19
Q111141522,Haruna Mshelia,APC,Askira-Uba/Hawul,2019-06-11,,,Q111141522-B20B619F-F1D2-45E8-9206-2F67D8D3E4AB
Q111141523,Hassan Abdullahi,APC,Bassa/Dekina,2019-06-11,,,Q111141523-326DDDED-F9A1-41EF-A2F4-325A679DD09B
Q111141524,Hassan Sokodabo Usman,PDP,Abaji/Gwagwalada/Kwali/Kuje,2019-06-11,,,Q111141524-7BE4BDD7-8E95-4BF8-BD1F-CB64E0E52F9B
Q111141525,Ibrahim Almustapha Aliyu,APC,Wurno/Rabah,2019-06-11,,,Q111141525-B68DF786-4F36-4D8D-AED7-3C7D5326E7F7
Q111141526,Ibrahim Babajide Obanikoro,APC,Eti-Osa,2019-06-11,,,Q111141526-9851D65C-CC3F-4C18-BA82-D489082FEF58
Q111141527,Ibrahim Hamza,PDP,Soba,2019-06-11,,,Q111141527-C34C21C9-4D57-4118-9BF6-5BE4DA0FB29E
Q111141528,Ibrahim Kunle Olanrewaju,APC,"Ido/Osi, Moba/Ilejeme",2019-06-11,,,Q111141528-381F4B88-C088-46C8-B82E-C83398955E08
Q111141529,Ibrahim Mohammed Bukar,APC,Dikwa/Mafa/Konduga,2019-06-11,,,Q111141529-E1797F25-A09C-4A3B-AC31-49C4C67BF3D5
Q111141531,Ibrahim Umar Potiskum,APC,Bade/Jakusko,2019-06-11,,,Q111141531-FEBE0950-A418-4966-AA38-D718D5BEE274
Q111141535,Ikenna Onyechere Elezieanya,PDP,Owerri Municipal/Owerri North/Owerri West,2019-06-11,,,Q111141535-00953512-99A0-4A5A-8A6A-37C04894A7D7
Q111141537,Ismail Kayode Tijani,APC,,2019-06-11,,,Q111141537-E741578F-51EF-4A80-BE1E-DF07DD524C76
Q111141538,Israel Sunny goli,APC,Brass/Nembe,2019-06-11,,,Q111141538-D577B137-69E9-432F-970C-71A12D43683D
Q111141539,Jaafar Abubakar Magaji,APC,Maiha/Mubi North/Mubi South,2019-06-11,,,Q111141539-04D7446E-33B0-48A8-8B69-D7E462C17B85
Q111141540,Jafaru Mohammed,APC,Agwara/Borgu,2019-06-11,,,Q111141540-37DFE3F6-5068-46E9-9B01-1223D83EAE22
Q111141543,Jacob Adejumo Ajao,APC,,2019-11-09,,,Q111141543-24B90A7F-71C9-4E34-B0D4-C1A0104F2AC3
Q111141546,Jafaru Suleiman Ribadu,PDP,Yola North/Yola South/Girei,2019-09-24,,,Q111141546-66405EDC-5E18-42A4-A2AE-C4B0659782E5
Q111141547,James Adisa Owolabi,APC,Ifako/Ijaiye,2019-06-11,,,Q111141547-D68769C8-A5A8-4E08-9941-A25285890B28
Q111141549,Jerry Alagbaoso,PDP,,2020-01-30,,,Q111141549-79F6CC01-CA0B-45F4-B25B-2311FF139DE7
Q111141550,Joseph Asuku Bello,APC,Adavi/Okehi,2019-06-11,,,Q111141550-53A6170A-0E91-45E6-BC73-19B5C85E0654
Q111141551,Jude Ikponmwosa Ise-idehen,PDP,Egor/Ikpoba-Okha,2019-06-11,,,Q111141551-2BEF529A-5B00-4C0C-8F42-495EB1FFC1D4
Q111141553,Kabiru Amadu,APC,,2021-07-14,,,Q111141553-0DB83737-1FFC-4D29-900E-8322F06CFC50
Q111141556,Kabiru Idris,APC,,2019-06-11,,,Q111141556-8F359514-144C-475C-ADC1-43AB4FCC1A5B
Q111141557,Kabiru Yahaya,PDP,,2019-06-11,,,Q111141557-E9E1B4C5-FD49-45E6-B610-16EC3BC9FF1B
Q111141558,Kasimu Bello Maigari,APC,Jalingo/Yorro/Zing,2019-07-03,,,Q111141558-DF2A2B9E-5763-486A-BC8F-0FBE1C2F0A37
Q111141561,Moshood Kayode Akiolu,APC,Lagos Island II,2019-06-11,,,Q111141561-E843C757-AA6F-43C5-B2C8-B39C57AFFC7C
Q111141562,Kolapo Korede Osunsanya,APC,Ijebu Ode/Odogbolu/Ijebu North East,2020-01-30,,,Q111141562-869C94B5-3DE0-4E19-A21C-4806658FE2C4
Q111141563,Kolawole Wasiu Lawal,APC,,2020-10-10,,,Q111141563-2F46214D-F701-4F10-B4F7-8A56FF0310F1
Q111141564,Komsol Alphonsus Longgap,APC,Mikang/Qua’an/Pan/Shedam,2019-06-11,,,Q111141564-CCF8E86F-B199-4519-AEA2-4EC0609D6783
Q111141566,Kpam Jimin Sokpo,PDP,Buruku,2019-06-11,,,Q111141566-38DAF13E-88F6-415C-8BBC-119C2B3B4B26
Q111141567,Olanrewaju Oladapo Edun,APC,Abeokuta South,2019-06-11,,,Q111141567-A9CB96C4-8F06-4E27-8C09-3EF2F81C17C9
Q111141568,Lawal Muhammadu Idirisu,APC,Ajaokuta,2019,,,Q111141568-967468FB-8A07-448A-8594-329A86FE4208
Q111141571,Abdullahi Lawan Ken ken,APC,Gwale,2019-06-11,,,Q111141571-B24F2B68-261B-4A2F-BD15-737D4CA686D7
Q111141572,Lawan Shettima Ali,APC,Bursari/Geidam/Yunusari,2019-06-11,,,Q111141572-A458358B-DED9-450B-8B2B-E7E24C625F64
Q111141573,Ayeni Lawrence Babatunde,APC,,2019-06-11,,,Q111141573-C17DFF20-ECAA-416C-96B9-B4A2AFA9DFAF
Q111141574,Leke Joseph Abejide,ADC,Yagba East/Yagba West/Mopamuro,2019-06-11,,,Q111141574-6DBCFC1E-3725-41C1-81CA-7583231655B6
Q111141576,Makwe Livinus Makwe,PDP,,2019-06-11,,,Q111141576-5239E5ED-7A79-48BF-95C9-DBD58C52AC79
Q111141578,Makki Yalleman Abubakar,APC,Mallam Madori/Kaugama,2019-06-11,,,Q111141578-F415E5FD-9A08-48A4-ABCC-B5AF4DC8E099
Q111141579,Mani Katami Maishinko,PDP,Binji/Silame,2019-06-11,,,Q111141579-351223B4-3853-4050-A6C0-30B547BBC989
Q111141581,Mansir Mashi Aliyu,APC,Mashi/Dutsi,2019-06-11,,,Q111141581-6367A5A0-B4BB-4038-8988-D236D9A07415
Q111141583,Mansur Manu Soro,APC,Darazo/Gunjuwa,2019-06-11,,,Q111141583-B774B207-95A4-42AB-9478-615E5EED37F5
Q111141584,Martins George Oke,PDP,Igbo-Etiti/Uzo-Uwani,2019-06-11,,,Q111141584-63B39D35-A903-4DF1-9EA5-177F953AEB2A
Q111141585,Micah Yohanna Jiba,PDP,,2019-06-11,,,Q111141585-5E15E157-9805-4BB7-9956-AB468BFF7B4E
Q111141586,Mohammed Omar Bio,APC,Baruten/Kaiama,2019-06-11,,,Q111141586-8D963FA8-2EAE-4AE1-9FF3-519E235BC2F6
Q111141587,Mohammed Saidu Bargaja,PDP,,2020-02-04,,,Q111141587-E5632C68-A75A-4C30-8DE7-662C128C65A2
Q111141590,Mufutau Adewale Egberongbe,APC,Apapa,2019-06-11,,,Q111141590-9D91BA42-36F6-441F-B617-0B0209ECA782
Q111141593,Muhammad Ali Wudil,APC,Wudil/Garko,2019-06-11,,,Q111141593-2CE57210-6975-4F9D-A919-E4349CFE4422
Q111141594,Muhammad Auwal Jatau,PDP,Zaki,2020-01-29,,,Q111141594-F7E9EFA4-ADAC-4947-AFFE-86D707815764
Q111141595,Muhammad Bello Yakubu,APC,Bunza/Birnin Kebbi/Kalgo,2019-06-11,,,Q111141595-DAA7A1B8-77B1-464A-8311-479432FF622E
Q111141596,Mukhtar Ahmed Monrovia,APC,Kaduna South,2019-06-11,,,Q111141596-58C60149-B1C2-4A6B-8789-D66EFC60DA60
Q111141597,Mukhtar Shehu Ladan,APC,Makarfi/Kudan,2019-06-11,,,Q111141597-A00F96D5-BE6A-4E7A-9F98-328E7600373C
Q111141599,Mukhtar Zakari Chawai,APC,Kauru,2019-06-11,,,Q111141599-DBC77575-F0FE-4222-BBEA-D9428CA2E7E9
Q111141601,Munir Babba Dan agundi,APC,,2020-01-29,,,Q111141601-DECAD20F-BA17-453C-BEAE-5DD29BBB4BF4
Q111141602,Murtala Isah,APC,Faskari/Kankara/Sabuwa,2019-06-11,,,Q111141602-844281C2-3E31-462E-ACCF-24E9A6592F26
Q111141603,Musa Mohammed Pali,APC,Alkaleri/Kirfi,2019-06-11,,,Q111141603-4AA5E220-41AD-437C-95C2-7A550C8BC9E6
Q111141605,Muhammadu Adamu Fagengawo,APC,Babura/Garki,2020-03-19,,,Q111141605-5E3BFE06-61FE-4F27-B564-646D45B038BA
Q111141606,Musa Umar Garo,APC,Gwarzo/Ikabo,2019-06-11,,,Q111141606-31800C9A-91A5-4214-98C2-84733994159E
Q111141608,Mustafa Muhammed Saidu,PDP,,2019-06-11,,,Q111141608-1FA8780E-4B2D-4B84-B179-B1EC0A2E55DC
Q111141609,Nasiru Abduwa Gabasawa,APC,,2019-07-03,,,Q111141609-F48C7924-DD84-4D14-8861-EFFB23F38F97
Q111141611,Nassir Ali Ahmed,APC,Nassarawa,2019-06-11,,,Q111141611-29CE8313-C13A-4A51-BEFE-56B0B0584ADE
Q111141612,Nazifi Sani,APC,Gumel/Maigatari/Sule Tankarkar/Gagarawa,2019-06-11,,,Q111141612-FEDED8CD-C750-46F5-80DC-A2AF6B378213
Q111141613,Ndudi godwin Godwin Elumelu,PDP,,2019-06-11,,,Q111141613-F0FDC395-9481-4DE4-86A7-B8A79F023274
Q111141615,Nnolim John Nnaji,PDP,Nkanu East/Nkanu West,2019-06-11,,,Q111141615-59872F4B-ABC1-4880-9922-C32C4179FDB0
Q111141617,Nsikak Okon Ekong,PDP,,2020-01-30,,,Q111141617-AB9A7A75-EB42-474E-A44C-B5DDE5003591
Q111141621,Obua Azibapu Fred,PDP,Ogbia,2019-06-11,,,Q111141621-DA5A2DBF-CF41-4243-BCD9-4E68529C6DBD
Q111141623,Ofor Gregory Chukwuegbo,PDP,Enugu North/Enugu South,2019-06-11,,,Q111141623-C1CA2300-7D57-43CE-AE28-5068DD8B1368
Q111141624,Ezenwankwo Okwudili Christopher,APC,,2021-09,,,Q111141624-218442C6-DBEC-4E7B-B77C-44FF134501F3
Q111141625,Prince olaide Adewale Akinremi,APC,Ibadan North,2019-06-11,,,Q111141625-7C39E85B-4C83-480E-ACB0-CDF63C679B64
Q111141627,Jimoh Aremu Olaifa,APC,,2021-03-17,,,Q111141627-6DB1A5DB-5391-4941-A620-E3A73DF196DF
Q111141631,Abdul Olajide Jimoh,APC,Lagos Mainland,2019-06-11,,,Q111141631-0CA799C2-83B0-437C-84C8-1F47A422A1E9
Q111141632,Rasheed Olalekan Afolabi,APC,Odo-Otin/Ifelodun/Boripe,2019-06-11,,,Q111141632-72E4FCE5-0181-459D-BE54-F876B062BC82
Q111141633,Olubukola Oyegbile Oyewo,APC,,2019-06-11,,,Q111141633-B7F6EEB7-11CB-4C2C-B670-D6A9184E88DE
Q111141634,Olumide Abiodun Ojerinde,APC,,2019-06-11,,,Q111141634-5CF349DC-7BCB-40E7-8B2D-F05773AC2C23
Q111141635,Olumide Babatunde Osoba,APC,,2019-06-11,,,Q111141635-087E4D02-FB51-432C-8077-179D5B4459EB
Q111141636,Akintola George Oluokun,APC,Akinyele/Lagelu,2019-06-11,,,Q111141636-743F80CD-DCA7-4EE4-840F-318293760097
Q111141639,Olusola Steve Fatoba,APC,,2019-06-11,,,Q111141639-68118A0F-3D85-40D0-AED3-6CE71D21B1CB
Q111141640,Adelegbe Emmanuel Oluwatimehin,APC,Owo/Ose,2019-06-11,,,Q111141640-265431EF-8E45-4D7E-9613-18B97D0C6FBE
Q111141641,Adewale Oluyemi Taiwo,PDP,Ibarapa East/Ido,2019-06-11,,,Q111141641-40E06D61-FE17-480E-9010-815737DA264B
Q111141642,Paschal Chigozie Obi,APC,,2020-02-13,,,Q111141642-3B588A96-149F-4117-8933-CCE7AE9475C6
Q111141645,Patrick Oziokoja Asadu,PDP,Nsukka/Igbo-Eze South,2019-06-11,,,Q111141645-AB9DA507-E31D-4567-9760-CA851B460795
Q111141646,Patrick Aisowieren,APC,Orhionmwon/Uhunmwonde,2019-06-11,,,Q111141646-7D11FD71-48CB-4160-A7DB-607B34D2565D
Q111141647,Patrick Nathan Ifon,PDP,Eket/Onna/Esit Eket/Ibeno,2019-06-11,,,Q111141647-84A102F3-776F-4CB8-8730-4F27FFDD0F8F
Q111141648,Peter Owolabi,APC,Ikole/Oye,2019-07-10,,,Q111141648-05EC2AB8-35FF-4A8F-937B-A0A53A672A06
Q111141650,Preye Influence goodluck Oseke,APC,Southern Ijaw,2019-06-11,,,Q111141650-E3997665-0230-4A57-9FC4-11E81FDCCCE8
Q111141651,Richard Iorkyaan Gbande,PDP,Katsina-Ala/Ukum/Logo,2019-06-11,,,Q111141651-F6B42B18-F58B-4BE4-92D8-C30823EBC15A
