item,name,party,constituency,startDate,endDate,gender,psid
Q64976705,Aishatu Dahiru Ahmed,,,2019-06-11,,female,Q64976705-41AF7367-439D-4478-A4A8-266D51768CBE
Q65030774,Mohammed Kola Balogun,,,2019-06-11,,male,Q65030774-6D881061-E4AB-4BA9-9F36-4E241E9D03D2
Q65038583,Yaroe Binos Dauda,,,2019-06-11,,male,Q65038583-6D68033C-A510-497A-BB57-544D32C1E251
Q65048215,Ishaku Elisha Abbo,,,2019-06-11,,male,Q65048215-DE2A2166-6BE7-49AE-97CD-427DEB300BF5
Q66005216,Yakubu Oseni,,,2019-06-11,,male,Q66005216-B2D199C8-F305-4FAB-8B0A-CBF677FE8F9B
Q66291380,Danjuma Laah,,,2019-06-11,,male,Q66291380-A8112AEA-3BB4-4A5C-B52D-65D178762D56
Q66606809,Olubunmi Ayodeji Adetunmbi,,,2019-06-11,,male,Q66606809-728857DA-0A15-47CC-B7BC-0A7EF300F622
Q67080058,Adelere Adeyemi Oriolowo,,,2019-06-11,,male,Q67080058-91ACC659-106F-4020-874D-37C3AAF605A3
Q7088857,Oluremi Tinubu,,,2015,,female,Q7088857-AD6F05E6-AB1B-440E-8B4D-DB5E31A949DD
Q7185532,Philips Tanimu Aduda,,FCT Senatorial District,2019-06-11,,male,Q7185532-F96D177C-3C7A-46F9-A861-7A4BC6C35F33
Q72764183,Shuaibu Isa Lau,,,2019-06-11,,male,Q72764183-AA0BA0A5-D1FF-4F0B-BBCB-EC7A950FDBC4
Q738816,Orji Uzor Kalu,,,2019-06-11,,male,Q738816-0573E6EB-9678-460D-9869-937C54BBD397
Q7395446,Sa'idu Ahmed Alkali,,,2019-06-11,,male,Q7395446-641E9A5C-319F-4D56-B2D3-C6FDECC02C0B
Q7399413,Sahabi Alhaji Yaú,,,2019-06-11,,male,Q7399413-FA6D5621-85C7-42EE-943D-8D3B93BCC3AF
Q7543924,Smart Adeyemi,,,2019-06-11,,male,Q7543924-9AC2D8FB-D2F9-4AE3-A4A6-FBA8F1A420C3
Q7607111,Oduah Stella,PDP,Anambra North,2015-06-09,,female,Q7607111-722F963B-D6AE-4F80-A303-C3FA9F61B485
Q7705525,Teslim Folarin,,,2019-06-11,,male,Q7705525-36D6BE4F-6320-4CF8-B6BE-ECE3C8D6ACBD
Q7881179,Umaru Tanko Al-Makura,,,2019-06-11,,male,Q7881179-DB2CADF4-94C3-4857-A025-48BBF68B50C5
Q82535,Ibrahim Shekarau,,,2019-06-11,,male,Q82535-9A3715E5-C447-40B5-9F31-61D0735F1C6D
Q83688127,Dimka Ayuba,,,2019-06-11,,male,Q83688127-2301710D-ADB1-4640-B824-CACE5B94DA18
Q83688165,Emmanuel Yisa Orker-Jev,,,2019-06-11,,male,Q83688165-83C74DF5-83D8-4DE7-B6D2-941708F40BD4
Q83689174,Lawali Hassan Anka,,,2019-06-11,,male,Q83689174-84BF57E1-4F19-41A5-AB72-972BF38B8DA7
