item,itemLabel,start,end,psid
Q6080812,Isiaka Adetunji Adeleke,2015-05,2017-04,Q6080812-B89C3616-1996-49A9-A192-8C5A7AA86EB7
Q6138857,James Manager,2015-06-09,2019-06-09,Q6138857-14123140-FD7A-4916-BA99-E5F2FA910C14
Q61731589,Abdul-Aziz Nyako,2015-06-09,2019-06-09,Q61731589-859D42BF-66DD-4752-AA50-B07F9DF5B23B
Q61743048,Ahmad Abubakar,2015-06-09,2019-06-09,Q61743048-FE338BCC-86F3-4F59-9D3B-92E0A6DABD57
Q61756840,Bala Ibn Naallah,2015-06-09,2019-06-09,Q61756840-E8C92936-84AB-41B5-A887-68507589F76D
Q61761286,Isah Misau,2015-06-09,2019-06-09,Q61761286-44AAECC1-A494-4CAD-A255-98DBEE00BDE4
Q61942446,Adebayo Rafiu Ibrahim,2015-06-09,2019-06-09,Q61942446-102895D7-E5E0-423F-8263-639DA5A82BDD
Q61992005,Malam Wakili,2015-06-09,2019-06-09,Q61992005-F4CEA331-B734-4BC0-ABD0-287FEF16BE3B
Q62072676,Adebayo Osinowo,2019-06-06,2020-06-15,Q62072676-2DBC4DD4-02B5-4F58-B0ED-A9AFD44765AF
Q62594993,Foster Ogola,2015-06-09,2019-06-09,Q62594993-C8B35B6F-8D9F-4874-A002-C31474C18A58
Q62604235,Abdulfatai Buhari,2015-06-09,2019-06-09,Q62604235-FF5B4584-35F5-4AA1-B2F7-3B7714D63839
Q62604245,Gershom Bassey,2015-06-09,2019-06-09,Q62604245-8592E961-4CE3-4EFF-9718-52C4EDD8E3F4
Q6271867,Jonah David Jang,2015-06-09,2019-06-09,Q6271867-70EC3D17-9C84-4B4B-BAA0-1BAB49DC07E0
Q62733959,Peter Nwaoboshi,2015-06-09,2019-06-09,Q62733959-D5440A79-CDD2-42F0-95B3-988474D675B9
Q62894523,Joseph Ogba,2015-06-09,2019-06-09,Q62894523-6A6148CA-8DED-4236-82CB-32A2D130288C
Q6289751,Joshua Dariye,2015-06-09,2019-06-09,Q6289751-BD661AC5-87E2-4880-B815-33EB110B8EBE
Q6290036,Joshua M. Lidani,2015-06-09,2019-06-09,Q6290036-2B0E13FF-74E2-4779-B97E-B697FEA1EF46
Q63050503,Tijjani Yahaya Kaura,2015-06,2019-06,Q63050503-85672CE5-5F92-42C5-9424-BAFC8C6B6D02
Q63117844,Matthew Urhoghide,2015-06-09,2019-06-09,Q63117844-016672C3-6BB7-4183-BF16-AC7DB843CBAF
Q63142317,Utazi Chukwuka,2015-06-09,2019-06-09,Q63142317-94609F0B-EDBD-40E0-9C36-1779FDBAB468
Q63190460,Duro Faseyi,2015-06-09,2019-06-09,Q63190460-00FE436A-D14A-4490-BD73-CBCA51E79033
Q63190467,Benjamin Uwajumogu,2015-06-09,2019-06-09,Q63190467-47EF7DFA-1AE6-46DF-B70B-A611A8DFBE8E
Q6344204,Kabir Garba Marafa,2015-06-09,2019-06-09,Q6344204-EF46A482-FCCD-41DC-87EA-EEC161C1974B
Q6344250,Kabiru Ibrahim Gaya,2015-06-09,2019-06-09,Q6344250-6256DE06-E533-4AFD-83E0-6DD360199B64
Q64010361,Kurfi Umaru,2015-06-09,2019-06-09,Q64010361-4C27C4BE-6BC3-4460-BF3D-716FA1FE1344
Q66291380,Danjuma Laah,2015-06-09,2019-06-09,Q66291380-8E8FB0DD-4A63-4218-8FBF-3884CEF9F8C5
Q6732156,Magnus Ngei Abe,2015-06-09,2019-06-09,Q6732156-808A3C5C-433D-4544-A2A0-6660ABE8D57C
Q6893329,Mohammed Shaaba Lafiagi,2015-06-09,2019-06-09,Q6893329-897CA1F6-4A95-4292-A03A-B6A05FD77256
Q7088857,Oluremi Tinubu,2015,,Q7088857-AD6F05E6-AB1B-440E-8B4D-DB5E31A949DD
Q7088869,Olusola Adeyeye,2015-06-09,2019-06-09,Q7088869-ECC492DA-E869-4C2A-9100-730BD0D2917B
Q7185532,Philips Tanimu Aduda,2015-06-09,2019-06-09,Q7185532-EC2D1C80-F404-4E01-AF97-7385C2B60B16
Q7561969,Sonni Ogbuoji,2015-06-09,2019-06-09,Q7561969-FC1AA0D1-A143-4BD1-8116-EBB0DA21E503
Q7607111,Oduah Stella,2015-06-09,,Q7607111-722F963B-D6AE-4F80-A303-C3FA9F61B485
Q7635965,Sulaiman Mohammed Nazif,2015-06-09,2019-06-09,Q7635965-13277EC6-AEBD-4286-8B6E-DFDC6BCE7991
Q7636116,Suleiman Adokwe,2015-06-09,2019-06-09,Q7636116-1ADF7BBC-7A55-4FF8-99C8-D556E1C1F43F
Q7902041,Usman Bayero Nafada,2015-06-09,2019-06-09,Q7902041-58B2F340-3657-40E8-93B1-47BEB8DC5D32
Q84712546,Ibrahim Abdullahi Danbaba,2015-06-09,2019-06-09,Q84712546-B4178726-6BFA-45FF-9245-A0481A2529A4
Q84991358,Abdullahi Abubakar Yahaya,2015-06-09,2019-06-09,Q84991358-979CF37D-6911-460B-8D6B-4DD69E03FD9B
Q85799574,Sani Mohammed,2015-06-09,2019-06-09,Q85799574-20D2709A-63D5-4CD5-A009-60071CFB96CE
Q85912730,Mohammed Sabo,2015-06-09,2019-06-09,Q85912730-44D3C3FB-60DD-4665-AF07-79203610B018
Q86513299,Aliyu Sabi Abdullahi,2015-06-09,2019-06-09,Q86513299-EC26322A-39E8-49AC-90C4-DA8E3B5DD4D6
