item,itemLabel,state,stateLabel
Q59681171,Mallam Madori/Kaugama,Q682691,Jigawa State
Q59681175,Ringim/Taura,Q682691,Jigawa State
Q59681191,Birnin Gwari/Giwa,Q878284,Kaduna State
Q59681189,Chikun/Kajuru,Q878284,Kaduna State
Q59681179,Igabi,Q878284,Kaduna State
Q59681183,Ikara/Kubau,Q878284,Kaduna State
Q59681190,Jema’a/Sanga,Q878284,Kaduna State
Q59681188,Kachia/Kagarko,Q878284,Kaduna State
Q59681176,Kaduna North,Q878284,Kaduna State
Q59681194,Kaduna South,Q878284,Kaduna State
Q59681199,Kaura,Q878284,Kaduna State
Q59681200,Kauru,Q878284,Kaduna State
Q59681186,Lere,Q878284,Kaduna State
Q59681184,Makarfi/Kudan,Q878284,Kaduna State
Q59681192,Sabon Gari,Q878284,Kaduna State
Q59681178,Soba,Q878284,Kaduna State
Q59681202,Zangon Kataf/Jaba,Q878284,Kaduna State
Q59681177,Zaria,Q878284,Kaduna State
Q59681204,Alabasu/Gaya/Ajingi,Q682571,Kano State
Q59681206,Bebeji/Kiru,Q682571,Kano State
Q59681207,Bichi,Q682571,Kano State
Q59681211,Dala,Q682571,Kano State
Q59681215,Dambatta/Makoda,Q682571,Kano State
Q59681216,Dawakin Kudu/Warawa,Q682571,Kano State
Q59681217,Dawakin Tofa/Tofa/Rimin Gado,Q682571,Kano State
Q59681218,Doguwa/Tudun Wada,Q682571,Kano State
Q59681236,Fagge,Q682571,Kano State
Q59681220,Gezawa/Gabasawa,Q682571,Kano State
Q59681214,Gwale,Q682571,Kano State
Q59681221,Gwarzo/Ikabo,Q682571,Kano State
Q59681229,Karaye/Rogo,Q682571,Kano State
Q59681230,Kumbotso,Q682571,Kano State
Q59681232,Kura/Madobi/Garun Mallam,Q682571,Kano State
Q59681238,Minjibir/Ungogo,Q682571,Kano State
Q59681222,Municipal,Q682571,Kano State
Q59681235,Nassarawa,Q682571,Kano State
